date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:31:54	43161/43161	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2007:01:55%20GMT	https://www.flipkart.com/iffalcon-by-tcl-smart-tvs-launch-store?otracker=undefined_footer_footer	C:/My%20Web%20Sites/flipkart/www.flipkart.com/iffalcon-by-tcl-smart-tvs-launch-store4fc7.html	(from https://www.flipkart.com/)
12:31:55	151941/151941	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2007:01:56%20GMT	https://www.flipkart.com/televisions/mi~brand/pr?sid=ckf,czl&otracker=undefined_footer_footer	C:/My%20Web%20Sites/flipkart/www.flipkart.com/televisions/mi_brand/pr5ae8.html	(from https://www.flipkart.com/)
12:31:56	336915/336915	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2007:01:58%20GMT	https://www.flipkart.com/micromax-108cm-43-inch-full-hd-led-tv/p/itmet7vnybdh8yeq?otracker=undefined_footer_footer	C:/My%20Web%20Sites/flipkart/www.flipkart.com/micromax-108cm-43-inch-full-hd-led-tv/p/itmet7vnybdh8yeq4fc7.html	(from https://www.flipkart.com/)
12:31:59	352172/352172	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2007:02:00%20GMT	https://www.flipkart.com/vu-80cm-32-hd-ready-led-tv/p/itmewprknh3wquyu?otracker=undefined_footer_footer	C:/My%20Web%20Sites/flipkart/www.flipkart.com/vu-80cm-32-hd-ready-led-tv/p/itmewprknh3wquyu4fc7.html	(from https://www.flipkart.com/)
12:32:00	126396/126396	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2007:02:02%20GMT	https://www.flipkart.com/cooling-days-store?otracker=undefined_footer_footer	C:/My%20Web%20Sites/flipkart/www.flipkart.com/cooling-days-store4fc7.html	(from https://www.flipkart.com/)
12:32:02	373793/373793	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2007:02:03%20GMT	https://www.flipkart.com/washing-machines/lg~brand/pr?sid=j9e,abm,8qx&otracker=undefined_footer_footer	C:/My%20Web%20Sites/flipkart/www.flipkart.com/washing-machines/lg_brand/pr878c.html	(from https://www.flipkart.com/)
12:32:04	355732/355732	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2007:02:05%20GMT	https://www.flipkart.com/washing-machines/bosch~brand/pr?sid=j9e,abm,8qx&otracker=undefined_footer_footer	C:/My%20Web%20Sites/flipkart/www.flipkart.com/washing-machines/bosch_brand/pr878c.html	(from https://www.flipkart.com/)
12:32:06	372090/372090	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2007:02:07%20GMT	https://www.flipkart.com/refrigerators/lg~brand/pr?sid=j9e,abm,hzg&otracker=undefined_footer_footer	C:/My%20Web%20Sites/flipkart/www.flipkart.com/refrigerators/lg_brand/pr2b84.html	(from https://www.flipkart.com/)
12:32:07	388165/388165	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2007:02:09%20GMT	https://www.flipkart.com/refrigerators/samsung~brand/pr?sid=j9e,abm,hzg&otracker=undefined_footer_footer	C:/My%20Web%20Sites/flipkart/www.flipkart.com/refrigerators/samsung_brand/pr2b84.html	(from https://www.flipkart.com/)
12:32:09	892875/892875	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2007:02:10%20GMT	https://www.flipkart.com/men/shirts/pr?sid=2oq,s9b,mg4&otracker=undefined_footer_footer	C:/My%20Web%20Sites/flipkart/www.flipkart.com/men/shirts/pr2a93.html	(from https://www.flipkart.com/)
12:32:12	618717/618717	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2007:02:13%20GMT	https://www.flipkart.com/men/jeans/pr?sid=2oq,s9b,94h&otracker=undefined_footer_footer	C:/My%20Web%20Sites/flipkart/www.flipkart.com/men/jeans/pre956.html	(from https://www.flipkart.com/)
12:32:15	1182129/1182129	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Oct%202018%2007:02:15%20GMT	https://www.flipkart.com/men/tshirts/pr?sid=2oq,s9b,j9y&otracker=undefined_footer_footer	C:/My%20Web%20Sites/flipkart/www.flipkart.com/men/tshirts/pr50f6.html	(from https://www.flipkart.com/)
